Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,17,12:00 - 12:14,Cashier,30.99,7,4.43,7,4.43,7,4.43,1.0,1.0
,,,17,12:15 - 12:29,Cashier,70.77,10,7.08,10,7.08,10,7.08,1.0,1.0
,,,17,12:30 - 12:44,Cashier,78.14,11,7.1,11,7.1,11,7.1,1.0,1.0
,,,17,12:45 - 12:59,Cashier,37.28,8,4.66,8,4.66,8,4.66,1.0,1.0
,,,17,13:00 - 13:14,Cashier,60.52,10,6.05,10,6.05,10,6.05,1.0,1.0
,,,17,13:15 - 13:29,Cashier,62.28,12,5.19,12,5.19,12,5.19,1.0,1.0
,,,17,13:30 - 13:44,Cashier,36.03,7,5.15,7,5.15,7,5.15,1.0,1.0
,,,17,13:45 - 13:59,Cashier,97.18,16,6.07,16,6.07,16,6.07,1.0,1.0
,,,17,14:00 - 14:14,Cashier,77.72,13,5.98,13,5.98,13,5.98,1.0,1.0
,,,17,14:15 - 14:29,Cashier,116.64,21,5.55,21,5.55,21,5.55,1.0,1.0
,,,17,14:30 - 14:44,Cashier,52.34,11,4.76,11,4.76,11,4.76,1.0,1.0
,,,17,14:45 - 14:59,Cashier,24.35,4,6.09,4,6.09,4,6.09,1.0,1.0
,,,17,15:00 - 15:14,Cashier,36.29,6,6.05,6,6.05,6,6.05,1.0,1.0
,,,17,15:15 - 15:29,Cashier,73.44,11,6.68,11,6.68,11,6.68,1.0,1.0
,,,17,15:30 - 15:44,Cashier,48.77,10,4.88,10,4.88,10,4.88,1.0,1.0
,,,17,15:45 - 15:59,Cashier,37.54,7,5.36,7,5.36,7,5.36,1.0,1.0
,,,17,16:00 - 16:14,Cashier,32.69,8,4.09,8,4.09,8,4.09,1.0,1.0
,,,17,16:15 - 16:29,Cashier,40.75,7,5.82,7,5.82,7,5.82,1.0,1.0
,,,17,16:30 - 16:44,Cashier,44.98,8,5.62,8,5.62,8,5.62,1.0,1.0
,,,17,16:45 - 16:59,Cashier,17.24,3,5.75,3,5.75,3,5.75,1.0,1.0
,,,17,17:00 - 17:14,Cashier,4.95,1,4.95,1,4.95,1,4.95,1.0,1.0
,,,17,17:15 - 17:29,Cashier,8.5,2,4.25,2,4.25,2,4.25,1.0,1.0
,,,17,17:30 - 17:44,Cashier,4.95,1,4.95,1,4.95,1,4.95,1.0,1.0
,,,17,---,---,1868.49,313,5.97,313,5.97,313,5.97,1.0,1.0
,,,18,07:30 - 07:44,Cashier,4.35,1,4.35,1,4.35,1,4.35,1.0,1.0
,,,18,08:00 - 08:14,Cashier,10.9,2,5.45,2,5.45,2,5.45,1.0,1.0
,,,18,08:15 - 08:29,Cashier,6.85,2,3.42,2,3.42,2,3.42,1.0,1.0
,,,18,08:30 - 08:44,Cashier,21.09,4,5.27,4,5.27,4,5.27,1.0,1.0
,,,18,08:45 - 08:59,Cashier,13.23,3,4.41,3,4.41,3,4.41,1.0,1.0
,,,18,09:00 - 09:14,Cashier,5.94,1,5.94,1,5.94,1,5.94,1.0,1.0
,,,18,09:15 - 09:29,Cashier,39.85,5,7.97,5,7.97,5,7.97,1.0,1.0
