Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,14,09:15 - 09:29,Cashier,66.8,10,6.68,10,6.68,10,6.68,1.0,1.0
,,,14,09:30 - 09:44,Cashier,14.0,3,4.67,3,4.67,3,4.67,1.0,1.0
,,,14,09:45 - 09:59,Cashier,5.05,1,5.05,1,5.05,1,5.05,1.0,1.0
,,,14,10:00 - 10:14,Cashier,19.29,3,6.43,3,6.43,3,6.43,1.0,1.0
,,,14,10:15 - 10:29,Cashier,84.41,14,6.03,14,6.03,14,6.03,1.0,1.0
,,,14,10:30 - 10:44,Cashier,107.8,15,7.19,15,7.19,15,7.19,1.0,1.0
,,,14,10:45 - 10:59,Cashier,32.38,5,6.48,5,6.48,5,6.48,1.0,1.0
,,,14,11:00 - 11:14,Cashier,30.78,6,5.13,6,5.13,6,5.13,1.0,1.0
,,,14,11:15 - 11:29,Cashier,93.33,12,7.78,11,8.48,12,7.78,0.92,0.92
,,,14,11:30 - 11:44,Cashier,78.19,11,7.11,11,7.11,11,7.11,1.0,1.0
,,,14,11:45 - 11:59,Cashier,52.96,8,6.62,8,6.62,8,6.62,1.0,1.0
,,,14,12:00 - 12:14,Cashier,49.33,9,5.48,9,5.48,9,5.48,1.0,1.0
,,,14,12:15 - 12:29,Cashier,114.65,12,9.55,11,10.42,12,9.55,0.92,0.92
,,,14,12:30 - 12:44,Cashier,109.83,14,7.84,14,7.84,14,7.84,1.0,1.0
,,,14,12:45 - 12:59,Cashier,88.08,11,8.01,11,8.01,11,8.01,1.0,1.0
,,,14,13:00 - 13:14,Cashier,89.05,13,6.85,13,6.85,13,6.85,1.0,1.0
,,,14,13:15 - 13:29,Cashier,55.4,8,6.92,8,6.92,8,6.92,1.0,1.0
,,,14,13:30 - 13:44,Cashier,75.95,9,8.44,9,8.44,9,8.44,1.0,1.0
,,,14,13:45 - 13:59,Cashier,13.45,2,6.72,2,6.72,2,6.72,1.0,1.0
,,,14,14:00 - 14:14,Cashier,39.31,4,9.83,4,9.83,4,9.83,1.0,1.0
,,,14,14:15 - 14:29,Cashier,122.63,16,7.66,16,7.66,16,7.66,1.0,1.0
