Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,4,13:45 - 13:59,Cashier,56.54,8,7.07,8,7.07,8,7.07,1.0,1.0
,,4,14:00 - 14:14,Cashier,93.79,11,8.53,11,8.53,11,8.53,1.0,1.0
,,4,14:15 - 14:29,Cashier,48.73,7,6.96,7,6.96,7,6.96,1.0,1.0
,,4,14:30 - 14:44,Cashier,66.64,11,6.06,11,6.06,11,6.06,1.0,1.0
,,4,14:45 - 14:59,Cashier,52.67,10,5.27,10,5.27,10,5.27,1.0,1.0
,,4,15:00 - 15:14,Cashier,43.73,7,6.25,7,6.25,7,6.25,1.0,1.0
,,4,15:15 - 15:29,Cashier,43.85,9,4.87,9,4.87,9,4.87,1.0,1.0
,,4,15:30 - 15:44,Cashier,20.17,5,4.03,5,4.03,5,4.03,1.0,1.0
,,4,15:45 - 15:59,Cashier,10.2,1,10.2,1,10.2,1,10.2,1.0,1.0
,,4,16:00 - 16:14,Cashier,37.84,6,6.31,6,6.31,6,6.31,1.0,1.0
,,4,16:15 - 16:29,Cashier,27.66,3,9.22,3,9.22,3,9.22,1.0,1.0
,,4,16:30 - 16:44,Cashier,43.42,8,5.43,8,5.43,8,5.43,1.0,1.0
,,4,16:45 - 16:59,Cashier,9.9,1,9.9,1,9.9,1,9.9,1.0,1.0
,,4,---,---,2002.32,290,6.9,290,6.9,290,6.9,1.0,1.0
,,7,07:30 - 07:44,Cashier,16.59,2,8.29,2,8.29,2,8.29,1.0,1.0
,,7,07:45 - 07:59,Cashier,12.49,2,6.25,2,6.25,2,6.25,1.0,1.0
,,7,08:00 - 08:14,Cashier,37.58,6,6.26,6,6.26,6,6.26,1.0,1.0
,,7,08:15 - 08:29,Cashier,55.48,9,6.16,9,6.16,9,6.16,1.0,1.0
,,7,08:30 - 08:44,Cashier,8.45,1,8.45,1,8.45,1,8.45,1.0,1.0
,,7,08:45 - 08:59,Cashier,33.69,7,4.81,7,4.81,7,4.81,1.0,1.0
,,7,09:00 - 09:14,Cashier,44.79,7,6.4,7,6.4,7,6.4,1.0,1.0
,,7,09:15 - 09:29,Cashier,62.3,10,6.23,10,6.23,10,6.23,1.0,1.0
,,7,09:30 - 09:44,Cashier,40.84,7,5.83,7,5.83,7,5.83,1.0,1.0
,,7,09:45 - 09:59,Cashier,14.45,4,3.61,4,3.61,4,3.61,1.0,1.0
,,7,10:00 - 10:14,Cashier,65.37,8,8.17,8,8.17,8,8.17,1.0,1.0
