Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,15,15:00 - 15:14,Cashier,6.5,2,3.25,2,3.25,2,3.25,1.0,1.0
,,,15,15:15 - 15:29,Cashier,2.35,1,2.35,1,2.35,1,2.35,1.0,1.0
,,,15,---,---,852.38,165,5.17,165,5.17,165,5.17,1.0,1.0
,,,16,07:30 - 07:44,Cashier,13.14,4,3.29,4,3.29,4,3.29,1.0,1.0
,,,16,07:45 - 07:59,Cashier,16.7,4,4.17,4,4.17,4,4.17,1.0,1.0
,,,16,08:00 - 08:14,Cashier,8.2,2,4.1,2,4.1,2,4.1,1.0,1.0
,,,16,08:15 - 08:29,Cashier,31.45,7,4.49,7,4.49,7,4.49,1.0,1.0
,,,16,08:30 - 08:44,Cashier,27.49,6,4.58,6,4.58,6,4.58,1.0,1.0
,,,16,08:45 - 08:59,Cashier,27.63,5,5.53,5,5.53,5,5.53,1.0,1.0
,,,16,09:00 - 09:14,Cashier,19.6,3,6.53,3,6.53,3,6.53,1.0,1.0
,,,16,09:15 - 09:29,Cashier,6.7,2,3.35,2,3.35,2,3.35,1.0,1.0
,,,16,09:30 - 09:44,Cashier,52.99,8,6.62,8,6.62,8,6.62,1.0,1.0
,,,16,09:45 - 09:59,Cashier,36.14,8,4.52,8,4.52,8,4.52,1.0,1.0
,,,16,10:00 - 10:14,Cashier,41.19,5,8.24,5,8.24,5,8.24,1.0,1.0
,,,16,10:15 - 10:29,Cashier,25.05,6,4.17,6,4.17,6,4.17,1.0,1.0
,,,16,10:30 - 10:44,Cashier,26.05,5,5.21,5,5.21,5,5.21,1.0,1.0
,,,16,10:45 - 10:59,Cashier,17.08,3,5.69,3,5.69,3,5.69,1.0,1.0
,,,16,11:00 - 11:14,Cashier,33.28,6,5.55,6,5.55,6,5.55,1.0,1.0
,,,16,11:15 - 11:29,Cashier,30.89,4,7.72,4,7.72,4,7.72,1.0,1.0
,,,16,11:30 - 11:44,Cashier,10.19,2,5.09,2,5.09,2,5.09,1.0,1.0
,,,16,11:45 - 11:59,Cashier,26.65,7,3.81,7,3.81,7,3.81,1.0,1.0
,,,16,12:00 - 12:14,Cashier,23.4,3,7.8,3,7.8,3,7.8,1.0,1.0
,,,16,12:15 - 12:29,Cashier,28.81,4,7.2,4,7.2,4,7.2,1.0,1.0
,,,16,12:30 - 12:44,Cashier,24.58,4,6.14,4,6.14,4,6.14,1.0,1.0
,,,16,12:45 - 12:59,Cashier,4.64,2,2.32,2,2.32,2,2.32,1.0,1.0
,,,16,13:00 - 13:14,Cashier,35.9,6,5.98,6,5.98,6,5.98,1.0,1.0
,,,16,13:15 - 13:29,Cashier,11.53,2,5.76,2,5.76,2,5.76,1.0,1.0
,,,16,13:30 - 13:44,Cashier,15.69,3,5.23,3,5.23,3,5.23,1.0,1.0
,,,16,13:45 - 13:59,Cashier,37.14,7,5.31,7,5.31,7,5.31,1.0,1.0
,,,16,14:00 - 14:14,Cashier,4.55,1,4.55,1,4.55,1,4.55,1.0,1.0
,,,16,14:15 - 14:29,Cashier,13.7,4,3.42,4,3.42,4,3.42,1.0,1.0
,,,16,14:30 - 14:44,Cashier,25.14,4,6.29,4,6.29,4,6.29,1.0,1.0
,,,16,14:45 - 14:59,Cashier,4.75,1,4.75,1,4.75,1,4.75,1.0,1.0
,,,16,15:00 - 15:14,Cashier,5.7,2,2.85,2,2.85,2,2.85,1.0,1.0
,,,16,---,---,685.95,130,5.28,130,5.28,130,5.28,1.0,1.0
,,,28,07:30 - 07:44,Cashier,19.1,5,3.82,5,3.82,5,3.82,1.0,1.0
,,,28,07:45 - 07:59,Cashier,21.3,3,7.1,3,7.1,3,7.1,1.0,1.0
,,,28,08:00 - 08:14,Cashier,13.35,4,3.34,4,3.34,4,3.34,1.0,1.0
,,,28,08:15 - 08:29,Cashier,34.11,7,4.87,7,4.87,7,4.87,1.0,1.0
,,,28,08:30 - 08:44,Cashier,25.9,7,3.7,7,3.7,7,3.7,1.0,1.0
,,,28,08:45 - 08:59,Cashier,37.22,7,5.32,7,5.32,7,5.32,1.0,1.0
,,,28,09:00 - 09:14,Cashier,55.08,12,4.59,12,4.59,12,4.59,1.0,1.0
,,,28,09:15 - 09:29,Cashier,46.83,10,4.68,10,4.68,10,4.68,1.0,1.0
,,,28,09:30 - 09:44,Cashier,67.92,13,5.22,13,5.22,13,5.22,1.0,1.0
,,,28,09:45 - 09:59,Cashier,50.5,10,5.05,10,5.05,10,5.05,1.0,1.0
,,,28,10:00 - 10:14,Cashier,61.82,13,4.76,13,4.76,13,4.76,1.0,1.0
,,,28,10:15 - 10:29,Cashier,100.73,17,5.93,17,5.93,17,5.93,1.0,1.0
,,,28,10:30 - 10:44,Cashier,108.66,15,7.24,15,7.24,15,7.24,1.0,1.0
,,,28,10:45 - 10:59,Cashier,66.72,9,7.41,9,7.41,9,7.41,1.0,1.0
,,,28,11:00 - 11:14,Cashier,31.99,7,4.57,7,4.57,7,4.57,1.0,1.0
,,,28,11:15 - 11:29,Cashier,75.93,13,5.84,13,5.84,13,5.84,1.0,1.0
,,,28,11:30 - 11:44,Cashier,63.9,11,5.81,11,5.81,11,5.81,1.0,1.0
,,,28,11:45 - 11:59,Cashier,46.68,6,7.78,6,7.78,6,7.78,1.0,1.0
,,,28,12:00 - 12:14,Cashier,52.42,8,6.55,8,6.55,8,6.55,1.0,1.0
,,,28,12:15 - 12:29,Cashier,114.51,17,6.74,17,6.74,17,6.74,1.0,1.0
,,,28,12:30 - 12:44,Cashier,118.96,21,5.66,21,5.66,21,5.66,1.0,1.0
,,,28,12:45 - 12:59,Cashier,72.21,12,6.02,12,6.02,12,6.02,1.0,1.0
,,,28,13:00 - 13:14,Cashier,44.67,7,6.38,7,6.38,7,6.38,1.0,1.0
,,,28,13:15 - 13:29,Cashier,49.18,9,5.46,9,5.46,9,5.46,1.0,1.0
,,,28,13:30 - 13:44,Cashier,42.89,7,6.13,7,6.13,7,6.13,1.0,1.0
,,,28,13:45 - 13:59,Cashier,24.58,5,4.92,5,4.92,5,4.92,1.0,1.0
,,,28,14:00 - 14:14,Cashier,38.52,5,7.7,5,7.7,5,7.7,1.0,1.0
,,,28,14:15 - 14:29,Cashier,20.32,7,2.9,7,2.9,7,2.9,1.0,1.0
,,,28,14:30 - 14:44,Cashier,68.52,13,5.27,13,5.27,13,5.27,1.0,1.0
,,,28,14:45 - 14:59,Cashier,19.65,4,4.91,4,4.91,4,4.91,1.0,1.0
,,,28,15:00 - 15:14,Cashier,15.49,4,3.87,4,3.87,4,3.87,1.0,1.0
,,,28,15:15 - 15:29,Cashier,18.49,3,6.16,3,6.16,3,6.16,1.0,1.0
,,,28,15:30 - 15:44,Cashier,3.25,1,3.25,1,3.25,1,3.25,1.0,1.0
,,,28,15:45 - 15:59,Cashier,3.35,1,3.35,1,3.35,1,3.35,1.0,1.0
,,,28,---,---,1634.75,293,5.58,293,5.58,293,5.58,1.0,1.0
,,,29,07:30 - 07:44,Cashier,17.29,5,3.46,5,3.46,5,3.46,1.0,1.0
,,,29,07:45 - 07:59,Cashier,42.98,8,5.37,8,5.37,8,5.37,1.0,1.0
,,,29,08:00 - 08:14,Cashier,45.84,10,4.58,10,4.58,10,4.58,1.0,1.0
