Location,MonOpen,MonClose,TueOpen,TueClose,WedOpen,WedClose,ThuOpen,ThuClose,FriOpen,FriClose,SatOpen,SatClose,SunOpen,SunClose
BG,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,-,-,-,-
EG,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,-,-,-,-
HG,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,09:00,18:00,09:00,18:00
MG,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,-,-,-,-
MS,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,-,-,-,-
OP,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,15:00,-,-,-,-
OV,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,-,-,-,-
PS,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,-,-,-,-
