Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,12:15 - 12:29,Cashier,16.58,4,4.14,4,4.14,4,4.14,1,1
,,,12:30 - 12:44,Cashier,25.9,3,8.63,3,8.63,3,8.63,1,1
,,,12:45 - 12:59,Cashier,6,2,3,2,3,2,3,1,1
,,,13:30 - 13:44,Cashier,37.93,2,18.96,2,18.96,2,18.96,1,1
,,,13:45 - 13:59,Cashier,9.34,1,9.34,1,9.34,1,9.34,1,1
,,,14:00 - 14:14,Cashier,21.6,2,10.8,2,10.8,2,10.8,1,1
,,,14:45 - 14:59,Cashier,18.69,3,6.23,3,6.23,3,6.23,1,1
,,,15:15 - 15:29,Cashier,5.85,1,5.85,1,5.85,1,5.85,1,1
,,,15:30 - 15:44,Cashier,12.55,2,6.28,2,6.28,2,6.28,1,1
,,,15:45 - 15:59,Cashier,2.95,1,2.95,1,2.95,1,2.95,1,1
,,22,---,---,539.28,69,7.82,69,7.82,69,7.82,1,1
,,23,08:00 - 08:14,Cashier,30.98,4,7.75,4,7.75,4,7.75,1,1
,,,08:15 - 08:29,Cashier,2.65,1,2.65,1,2.65,1,2.65,1,1
,,,08:30 - 08:44,Cashier,9.44,1,9.44,1,9.44,1,9.44,1,1
,,,08:45 - 08:59,Cashier,15.04,2,7.52,2,7.52,2,7.52,1,1
,,,09:00 - 09:14,Cashier,42.64,6,7.11,6,7.11,6,7.11,1,1
,,,09:15 - 09:29,Cashier,22.59,3,7.53,3,7.53,3,7.53,1,1
,,,09:30 - 09:44,Cashier,25.48,4,6.37,4,6.37,4,6.37,1,1
,,,10:00 - 10:14,Cashier,46.1,8,5.76,8,5.76,8,5.76,1,1
,,,10:15 - 10:29,Cashier,23.79,5,4.76,5,4.76,5,4.76,1,1
,,,10:30 - 10:44,Cashier,17.04,3,5.68,3,5.68,3,5.68,1,1
,,,10:45 - 10:59,Cashier,17.93,2,8.96,2,8.96,2,8.96,1,1
,,,11:00 - 11:14,Cashier,6.1,2,3.05,2,3.05,2,3.05,1,1
,,,11:15 - 11:29,Cashier,28.33,3,9.44,3,9.44,3,9.44,1,1
,,,11:30 - 11:44,Cashier,5.45,1,5.45,1,5.45,1,5.45,1,1
,,,11:45 - 11:59,Cashier,3.75,1,3.75,1,3.75,1,3.75,1,1
,,,12:15 - 12:29,Cashier,28.73,4,7.18,4,7.18,4,7.18,1,1
,,,12:30 - 12:44,Cashier,14.64,3,4.88,3,4.88,3,4.88,1,1
,,,12:45 - 12:59,Cashier,11.2,2,5.6,2,5.6,2,5.6,1,1
,,,13:00 - 13:14,Cashier,4.95,1,4.95,1,4.95,1,4.95,1,1
,,,13:15 - 13:29,Cashier,16.19,1,16.19,1,16.19,1,16.19,1,1
,,,13:30 - 13:44,Cashier,14.89,2,7.45,2,7.45,2,7.45,1,1
,,,13:45 - 13:59,Cashier,15.99,3,5.33,3,5.33,3,5.33,1,1
,,,14:00 - 14:14,Cashier,26.24,3,8.75,3,8.75,3,8.75,1,1
,,,14:15 - 14:29,Cashier,39.09,6,6.51,6,6.51,6,6.51,1,1
,,,14:30 - 14:44,Cashier,25.25,4,6.31,4,6.31,4,6.31,1,1
,,,14:45 - 14:59,Cashier,22.69,1,22.69,1,22.69,1,22.69,1,1
,,,15:30 - 15:44,Cashier,0.5,1,0.5,1,0.5,1,0.5,1,1
,,,15:45 - 15:59,Cashier,11.15,2,5.58,2,5.58,2,5.58,1,1
,,23,---,---,528.82,79,6.69,79,6.69,79,6.69,1,1
,,24,08:00 - 08:14,Cashier,21.69,4,5.42,4,5.42,4,5.42,1,1
,,,08:15 - 08:29,Cashier,39.38,6,6.56,6,6.56,6,6.56,1,1
