Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,,09:00 - 09:14,Cashier,22.94,4,5.74,4,5.74,4,5.74,1,1
,,,,09:15 - 09:29,Cashier,59.04,8,7.38,8,7.38,8,7.38,1,1
,,,,09:30 - 09:44,Cashier,55.34,9,6.15,9,6.15,9,6.15,1,1
,,,,09:45 - 09:59,Cashier,14,3,4.67,3,4.67,3,4.67,1,1
,,,,10:00 - 10:14,Cashier,19.89,4,4.97,4,4.97,4,4.97,1,1
,,,,10:15 - 10:29,Cashier,19.98,4,5,4,5,4,5,1,1
,,,,10:30 - 10:44,Cashier,38.23,7,5.46,7,5.46,7,5.46,1,1
,,,,10:45 - 10:59,Cashier,53.13,6,8.86,6,8.86,6,8.86,1,1
,,,,11:00 - 11:14,Cashier,87.2,9,9.69,9,9.69,9,9.69,1,1
,,,,11:15 - 11:29,Cashier,24.99,4,6.25,4,6.25,4,6.25,1,1
,,,,11:30 - 11:44,Cashier,79.43,8,9.93,8,9.93,8,9.93,1,1
,,,,11:45 - 11:59,Cashier,83.7,9,9.3,9,9.3,9,9.3,1,1
,,,,12:00 - 12:14,Cashier,132,18,7.33,18,7.33,18,7.33,1,1
,,,,12:15 - 12:29,Cashier,82.6,12,6.88,12,6.88,12,6.88,1,1
,,,,12:30 - 12:44,Cashier,31.94,5,6.39,5,6.39,5,6.39,1,1
,,,,12:45 - 12:59,Cashier,50.98,8,6.37,8,6.37,8,6.37,1,1
,,,,13:00 - 13:14,Cashier,82.33,11,7.48,11,7.48,11,7.48,1,1
,,,,13:15 - 13:29,Cashier,44.47,9,4.94,9,4.94,9,4.94,1,1
,,,,13:30 - 13:44,Cashier,3,1,3,1,3,1,3,1,1
,,,,13:45 - 13:59,Cashier,66.5,10,6.65,10,6.65,10,6.65,1,1
,,,,14:00 - 14:14,Cashier,54.35,9,6.04,9,6.04,9,6.04,1,1
,,,,14:15 - 14:29,Cashier,44.3,8,5.54,8,5.54,8,5.54,1,1
,,,,14:30 - 14:44,Cashier,85.06,10,8.51,10,8.51,10,8.51,1,1
,,,,14:45 - 14:59,Cashier,19.69,4,4.92,4,4.92,4,4.92,1,1
,,,,15:00 - 15:14,Cashier,34.62,6,5.77,6,5.77,6,5.77,1,1
,,,,15:15 - 15:29,Cashier,11.59,3,3.86,3,3.86,3,3.86,1,1
,,,10,---,---,1380.65,204,6.77,204,6.77,204,6.77,1,1
,,,11,07:45 - 07:59,Cashier,21,4,5.25,4,5.25,4,5.25,1,1
,,,,08:00 - 08:14,Cashier,10.19,2,5.09,2,5.09,2,5.09,1,1
,,,,08:15 - 08:29,Cashier,7.6,1,7.6,1,7.6,1,7.6,1,1
,,,,08:30 - 08:44,Cashier,16.24,4,4.06,4,4.06,4,4.06,1,1
,,,,08:45 - 08:59,Cashier,11.6,2,5.8,2,5.8,2,5.8,1,1
,,,,09:00 - 09:14,Cashier,41.69,7,5.96,7,5.96,7,5.96,1,1
,,,,09:15 - 09:29,Cashier,44.63,8,5.58,8,5.58,8,5.58,1,1
,,,,09:30 - 09:44,Cashier,28.04,4,7.01,4,7.01,4,7.01,1,1
,,,,09:45 - 09:59,Cashier,10.95,3,3.65,3,3.65,3,3.65,1,1
,,,,10:00 - 10:14,Cashier,21.85,5,4.37,5,4.37,5,4.37,1,1
,,,,10:15 - 10:29,Cashier,56.08,10,5.61,10,5.61,10,5.61,1,1
,,,,10:30 - 10:44,Cashier,61.38,9,6.82,9,6.82,9,6.82,1,1
,,,,10:45 - 10:59,Cashier,44.14,7,6.31,7,6.31,7,6.31,1,1
,,,,11:00 - 11:14,Cashier,61.34,9,6.82,9,6.82,9,6.82,1,1
,,,,11:15 - 11:29,Cashier,33.7,7,4.81,7,4.81,7,4.81,1,1
